,Title,Distributor,AvgPerShow$,Net$,Gross$,Admissions,NumberShows,vote_average,popularity,adult,release_date,original_language,revenue,runtime,budget
48,ANOTHER EARTH,Fox Searchlight,64.76,2324.64,2461.0,303,38.00185299567634,0.0,0.6,False,2012-03-20,en,0.0,52.0,0.0
49,ANOTHER YEAR,SPC,100.14,8419.48,8912.5,1143,89.0003994407829,5.167,0.6,False,2014-01-15,ru,0.0,107.0,0.0
50,ANTHROPOID,BLEECKER STREET,86.91,4428.07,4693.0,510,53.998389138188934,7.1,0.6,False,2014-01-10,fr,0.0,78.0,0.0
51,ARBITRAGE,roadside attractions,146.59,23610.3,25506.0,3021,173.99549764649703,0.0,0.6,False,2015-10-18,nl,0.0,15.0,0.0
52,ARGO,WARNER BROS.,189.35,37852.95,40899.0,4717,215.99683126485345,5.0,0.6,False,1990-06-15,en,0.0,90.0,0.0
53,ARRIVAL,paramount,110.51,9175.11,9724.5,1028,87.99656139715863,8.0,0.6,False,2017-11-04,en,0.0,17.0,70000.0
54,AT ANY PRICE,SPC,38.2,883.75,955.0,112,24.999999999999996,0.0,0.6,False,1968-09-10,it,0.0,94.0,0.0
55,AUGUST OSAGE COUNTY,weinstein,203.73,12636.0,13650.0,1632,67.00044176115448,6.865,15.284,False,2013-12-26,en,74188937.0,121.0,25000000.0
56,AUGUSTINE,,291.0,269.55,291.0,34,1.0,10.0,1.001,False,2018-07-27,en,0.0,80.0,0.0
57,AUSTENLAND,SPC,86.81,2893.25,3125.0,366,35.99815689436701,6.424,7.893,False,2013-08-15,en,2159041.0,97.0,4900000.0
58,BABIES,Focus Features,96.14,5083.68,5384.0,679,56.00166423965051,5.7,0.6,False,1924-10-11,en,0.0,85.0,0.0
59,BARNEYS VERSION,SPC,118.74,7401.8,7837.0,992,66.00134748189322,7.102,11.59,False,2010-10-26,en,8454301.0,134.0,30000000.0
60,BATTLE OF THE SEXES,FOX,90.83,3515.65,3724.0,404,40.999669712650004,6.0,1.4,False,2019-04-28,de,0.0,52.0,0.0
61,BEASTS OF SOUTHERN WILD,Fox Searchlight,116.06,22241.5,24025.0,2838,207.0049974151301,6.827,10.744,False,2012-06-29,en,21107746.0,93.0,1800000.0
62,BEATRIZ AT DINNER,roadside attractions,83.56,9463.98,10027.5,1082,120.00359023456198,5.9,9.893,False,2017-06-09,en,7.0,83.0,0.0
63,BEFORE MIDNIGHT,SPC,113.4,9550.7,10319.0,1221,90.99647266313933,0.0,0.757,False,2022-04-26,fr,0.0,53.0,0.0
64,BEGIN AGAIN,weinstein,113.08,15422.48,16397.0,1927,145.00353731871243,7.049,9.315,False,2006-10-20,hi,15000000.0,178.0,5000000.0
65,BEGINNERS,Focus Features,118.05,10262.19,10861.0,1379,92.00338839474799,0.0,0.6,False,,en,0.0,0.0,0.0
66,BEGUILED,Focus Features,67.09,6329.57,6708.5,723,99.9925473244895,0.0,0.6,False,1986-07-17,ja,0.0,16.0,0.0
67,BEING FLYNN,Focus Features,76.2,4303.15,4648.0,547,60.99737532808399,6.208,10.513,False,2012-03-02,en,540152.0,102.0,0.0
68,BELLE,Fox Searchlight,123.23,13441.8,14295.0,1714,116.00259677026698,5.2,4.182,False,1999-03-10,fr,0.0,102.0,0.0
69,BERNIE,Millenium Entertainment,101.65,14213.95,15349.0,1815,150.9985243482538,0.0,0.883,False,2016-04-27,en,0.0,43.0,0.0
70,BEST EXOTIC MARIGOLD HOTE,Fox Searchlight,205.23,68758.9,74293.0,8829,361.99873312868493,6.4,13.884,False,2015-02-26,en,85978266.0,122.0,10000000.0
